ruta,archivo,categoria,bytes,md5,fecha_ingreso
01_Datos/ANM/TITULOSMINAS_ORIGINAL.xlsx,TITULOSMINAS_ORIGINAL.xlsx,B,969802,7f6e437decf4406c744a0557c2a37a4c,2026-09-16
01_Datos/Contraloria/617_ORIGINAL.xlsx,617_ORIGINAL.xlsx,B,104441,7fb59c6156fc15134b97fe627fba3cd0,2026-09-16
01_Datos/DANE/CNPV_2018/VIVIENDAS_Cuadros_CNPV_2018.XLSX,VIVIENDAS_Cuadros_CNPV_2018.XLSX,A,8406337,fd123c70075e1b9c39da6f46ff1b9ffe,2026-09-16
01_Datos/DANE/Cuentas_Nacionales/PIB_ORIGINAL.xlsx,PIB_ORIGINAL.xlsx,A,1996513,07ba3710b2895d0d7f9b5642db03bda5,2026-09-16
01_Datos/DANE/Cuentas_Nacionales/VALOR AGREGADO MUNICIPAL 2011-2022P - DANE.xlsx,VALOR AGREGADO MUNICIPAL 2011-2022P - DANE.xlsx,A,1875195,5df0f334dd89122f24995cec0a51fe0e,2026-09-16
01_Datos/DANE/Deficit_Habitacional/deficit cualitativo por municipio 2023.xlsx,deficit cualitativo por municipio 2023.xlsx,A,72713,bca6b58acbf1d0eac025bd60b1519d9e,2026-09-16
01_Datos/DANE/Deficit_Habitacional/deficit cuantitativo por municipio 2023.xlsx,deficit cuantitativo por municipio 2023.xlsx,A,49601,18986e4f6ae115fe88b75857f646e60d,2026-09-16
01_Datos/DANE/Estadisticas_Vitales/Defunciones 2024.xlsx,Defunciones 2024.xlsx,A,13492273,1ced5891bc652e938b2c8a7730e50270,2026-09-16
01_Datos/DANE/Estadisticas_Vitales/anex-EEVV-DefuncionesNoFetalesCuadroAnoAcumulado-2025pr.xlsx,anex-EEVV-DefuncionesNoFetalesCuadroAnoAcumulado-2025pr.xlsx,A,7433320,ff3497f161e305e1699a603ceda9b345,2026-09-16
01_Datos/DANE/Estadisticas_Vitales/defunciones-no-fetales2022-cuadro-definitivo-2022.xls,defunciones-no-fetales2022-cuadro-definitivo-2022.xls,A,25356800,977550b5ed6c874c0e5a03092aa9cf3d,2026-09-16
01_Datos/DANE/Marco_Geoestadistico/MGN_MPIO_POLITICO.dbf,MGN_MPIO_POLITICO.dbf,A,55322,287bf471387a57b685e065862f124ff5,2026-09-16
01_Datos/DANE/Marco_Geoestadistico/MGN_MPIO_POLITICO.prj,MGN_MPIO_POLITICO.prj,A,145,c742bee3d4edfc2948a2ad08de1790a5,2026-09-16
01_Datos/DANE/Marco_Geoestadistico/MGN_MPIO_POLITICO.shp,MGN_MPIO_POLITICO.shp,A,9141820,bb0310d19f3c862e9890e990a44fcac7,2026-09-16
01_Datos/DANE/Marco_Geoestadistico/MGN_MPIO_POLITICO.shx,MGN_MPIO_POLITICO.shx,A,1100,99ec5f55e67cacd3b792f11060f72066,2026-09-16
01_Datos/DANE/Proyecciones_Poblacion/POBLACION MUNICIPAL.xlsx,POBLACION MUNICIPAL.xlsx,B,38006839,86e9af32bc4980542c37303efe657e10,2026-09-16
01_Datos/DANE/Proyecciones_Poblacion/PPED-AreaSexoEdadMun-2018-2042_VP__Indice.parquet,PPED-AreaSexoEdadMun-2018-2042_VP__Indice.parquet,D,2344,5d8973430f991a1e0976f3340f4a39e3,2026-09-17
01_Datos/DANE/Proyecciones_Poblacion/PPED-AreaSexoEdadMun-2018-2042_VP__PPED.parquet,PPED-AreaSexoEdadMun-2018-2042_VP__PPED.parquet,D,2552,415112aae0665f007238a48ea09d48a1,2026-09-17
01_Datos/DANE/Proyecciones_Poblacion/PPED-AreaSexoEdadMun-2018-2042_VP__PobMunicipalxAreaSexoEdad.parquet,PPED-AreaSexoEdadMun-2018-2042_VP__PobMunicipalxAreaSexoEdad.parquet,D,31568590,6fa3ffe20c8c7810eaa1c72e9a49615a,2026-09-17
01_Datos/DNP/Desempeno_Fiscal_IDF/Consulta IDF - DNP.xlsx,Consulta IDF - DNP.xlsx,B,94476,f3ab4dbb70027aa82b145ad1396cb7f4,2026-09-16
01_Datos/DNP/Desempeno_Municipal_MDM/MDM_ORIGINAL.xlsx,MDM_ORIGINAL.xlsx,A,4773136,2df6b55a20b550adadd7e9701d1ffd2e,2026-09-16
01_Datos/DNP/Mapa_Inversiones/mapainversiones.dnp.gov.co.har,mapainversiones.dnp.gov.co.har,B,19997488,d181bfce4fb701560bb60ec41d946f5f,2026-09-16
01_Datos/DNP/Mapa_Inversiones/mapainversiones.dnp.gov.co_proyectos.har,mapainversiones.dnp.gov.co_proyectos.har,B,42045520,d2166cc34edd7f504aa7a9ac9665f5d7,2026-09-16
01_Datos/DNP/Mapa_Inversiones/mapainversiones.dnp.gov.co_proyectos_v2.har,mapainversiones.dnp.gov.co_proyectos_v2.har,B,10161116,50470284e6bbbbd44c9688ec0da63340,2026-09-16
01_Datos/DNP/Riesgo_Desastres_IMRC/IMRC_ORIGINAL.xlsx,IMRC_ORIGINAL.xlsx,A,842242,ac5e0d6ffeb190990a13ed98d28c18a3,2026-09-16
01_Datos/Funcion_Publica_FURAG/Indice_gobierno_digital_2024.xlsx,Indice_gobierno_digital_2024.xlsx,A,427372,c2611c05e1430e0f80fc4c37a1285081,2026-09-16
01_Datos/Funcion_Publica_FURAG/Índice_de_Gobierno_Digital_-_Histórico_20260704.xlsx,Índice_de_Gobierno_Digital_-_Histórico_20260704.xlsx,A,7100354,426f82da24814bca5413a3ec21fcba8b,2026-09-16
01_Datos/Global_Forest_Watch/Deforestación GFW.xlsx,Deforestación GFW.xlsx,A,2481608,57fc8d0d17eef8bb84e472a7f51bb5c7,2026-09-16
01_Datos/Gobernacion_Antioquia/Catastro/CATASTRO.xlsx,CATASTRO.xlsx,A,40709,17235c16c97d0a01c7348f1c8a726d3b,2026-09-16
01_Datos/Gobernacion_Antioquia/DAGRAN/Desastres 2024.xlsx,Desastres 2024.xlsx,A,137719,997ba9000422d220b899d43bc3e19566,2026-09-16
01_Datos/Gobernacion_Antioquia/DAP_Planeacion/PIB-VA_Mpal_2015-2024pr_Publ_05-06-2026_v2.xlsm,PIB-VA_Mpal_2015-2024pr_Publ_05-06-2026_v2.xlsm,A,1973129,5a309a08a2019fc7a725fee63c80aff1,2026-09-16
01_Datos/Gobernacion_Antioquia/DAP_Planeacion/VALOR AGREGADO MUNICIPAL 2015-2022 - GOB ANT.xlsx,VALOR AGREGADO MUNICIPAL 2015-2022 - GOB ANT.xlsx,A,1025764,629c7bb1ca525be30b3967c71a5a7cac,2026-09-16
01_Datos/Gobernacion_Antioquia/Datalake/DATALAKE DEyC.xlsx,DATALAKE DEyC.xlsx,A,2406265,df18b1d9633fbe9e51fd7d7243e654d0,2026-09-16
01_Datos/Gobernacion_Antioquia/Datalake/DATALAKE EDUCACION.xlsx,DATALAKE EDUCACION.xlsx,A,7003559,a2cec84a9378fc87f68c9d9514de67da,2026-09-16
01_Datos/Gobernacion_Antioquia/Datalake/DATALAKE GESTION PUBLICA.xlsx,DATALAKE GESTION PUBLICA.xlsx,A,108275,ffec43745686a9d26b36e2b3ae3d2170,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Calidad_de_Vida/INDICADORES ECV 2023 MUNICIPIOS.xlsx,INDICADORES ECV 2023 MUNICIPIOS.xlsx,A,29765930,f15aba3ddf97bc1a359a2c58ef571cdf,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Calidad_de_Vida/Indicadores_ECV2023.xlsx,Indicadores_ECV2023.xlsx,A,27095879,44f49bb4f65a648b693e038d018b9396,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Calidad_de_Vida/MICRODATOS ECV 2023_DICCIONARIO.xlsx,MICRODATOS ECV 2023_DICCIONARIO.xlsx,A,492245,5bfcb4c64619c5b2c906bdc57d926610,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Calidad_de_Vida/MICRODATOS ECV 2023_DICCIONARIO_RES.xlsx,MICRODATOS ECV 2023_DICCIONARIO_RES.xlsx,A,82734,77efd44ef8b383b14385c32e8aa67291,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Percepcion_Seguridad/Diccionario de datos 033200250000 percepcion de seguridad_2025 (1).xlsx,Diccionario de datos 033200250000 percepcion de seguridad_2025 (1).xlsx,A,1056244,64d3b2ac361239545b1e972d8c240bfe,2026-09-16
01_Datos/Gobernacion_Antioquia/Encuesta_Percepcion_Seguridad/encuesta_percepcion_2018-2025_anonimizada.parquet,encuesta_percepcion_2018-2025_anonimizada.parquet,E,5860770,61435cc1aaf678aab958606039980d3a,2026-09-17
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05021_conflictos_alejandria.xlsx,05021_conflictos_alejandria.xlsx,A,191761,0aa767aec124fa9d06fe1b0dba4cd996,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05036_conflictos_angelopolis.xlsx,05036_conflictos_angelopolis.xlsx,A,225232,8e243db18446dce9b04d5dba2090b260,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_1/05040_conflictos_anori.xlsx,05040_conflictos_anori.xlsx,A,618038,ce17a2ad352a135b484bbc91ac677eb8,2026-09-16
